[id] 5
[template] 神秘人：谢谢你帮助我，<name>，你有什么需要我帮忙的吗
[content] 我：我有一本日记，你能帮我解开上面的魔法吗
[content] 神秘人：好的（解开了日记）
[content] 阅读日记
[content] 这是一本很旧的日记了
[content] 时间xxxx
[content] 我终于离开了他那里，我要向他证明自己，证明自己能成为一个合格的宫廷魔术师
[content] 时间xxxx
[content] 我成功了，在我的帮助下，人类的王国建立了起来，明天我就起身去找他
[content] 时间xxxx
[content] 为什么，他说我做的不好，为什么，明明在我的辅助下这个王国正在逐渐壮大，我会证明给你看的
[content] 时间xxxx
[content] 宫廷政变发生了，贵族们扶持了傀儡皇帝，人类真的是自私的种族，我……
[content] 时间xxxx
[content] 人类的王都不行，既然如此我就自己成为王吧，我想邀请他，他却看不起我，这份屈辱，我迟早会还清的
[content] 时间xxxx
[content] 计划很完美，现在只需要一个强大的战斗力我的计划就能成功了
[content] 时间xxxx
[content] 尝试异世界召唤，召唤魂魄固定在我准备的肉体上，失败了，为什么
[content] 时间xxxx
[content] 成功了，这样就……
[content] 我：太可怕了，我差点就帮这样的人......
[content] 神秘人：这和我的猜测基本一致，你需要先救出公主，森林的精灵们会给你提供线索的
[end]
